model,acc_mean,acc_sd,prec_mean,rec_mean,f1_mean,auc_mean
LogReg,0.6297514033680833,0.06535204035719093,0.33706397306397307,0.46017316017316023,0.3877615793353138,0.6275627497502498
RandomForest,0.7499866345896818,0.009533051655628594,0.4,0.01818181818181818,0.034782608695652174,0.5850345487845487
